Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
Chief Data Officer,https://hh.ru/vacancy/119826788,HAAS PLATFORM,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Программист Машинного обучения/ ML Engineer/ Математик,https://hh.ru/vacancy/119277805,Группа компаний «Триумф»,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ML engineer,https://hh.ru/vacancy/119813378,Эйчар Рокет,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Разработчик ML,https://hh.ru/vacancy/119787194,FIX PRICE,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ML разработчик/Data scientist,https://hh.ru/vacancy/119710027,Аналитический центр при Правительстве Российской Федерации,не указана,От 1 года до 3 лет,Нет,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0
ML/Data Scientist (Junior+/Middle),https://hh.ru/vacancy/118572829,Ростелеком - Центры обработки данных,не указана,От 1 года до 3 лет,Нет,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
Python-разработчик (Направление ML),https://hh.ru/vacancy/118979581,Платформа Трим,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Data Analyst (Junior),https://hh.ru/vacancy/119250574,Штумпф,от 70000 RUR,Нет опыта,Да,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Middle/Middle+ Java developer (Ecom, fintech)",https://hh.ru/vacancy/118701272,Any,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Системный аналитик (Видеоаналитика),https://hh.ru/vacancy/119643817,Сбер Бизнес Софт,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Директор по маркетингу,https://hh.ru/vacancy/119416322,Private HR agency,от 400000 до 650000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior ML Engineer / Data Scientist,https://hh.ru/vacancy/119495959,Digitus Solutions,от 120000 до 200000 RUR,От 1 года до 3 лет,Да,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"Junior NLP, LLM Data Scientist (блок ""В2С"")",https://hh.ru/vacancy/119609618,СБЕР,не указана,Нет опыта,Нет,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
Senior Data Scientist,https://hh.ru/vacancy/119751375,Джи Эф Си,не указана,От 3 до 6 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Стажер computer vision (задачи быстрой детекции и сегментации),https://hh.ru/vacancy/119122592,MindSet,не указана,Нет опыта,Да,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
ML-engineer (NLP),https://hh.ru/vacancy/119698473,ГНИВЦ,не указана,От 1 года до 3 лет,Да,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
Стажер / Разработка ПО машинного обучения / Yadro Импульс,https://hh.ru/vacancy/119732093,Changellenge,не указана,Нет опыта,Нет,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0
NLP Researcher,https://hh.ru/vacancy/119837578,Криптонит,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0
Data Scientist,https://hh.ru/vacancy/119749370,Точка,до 510000 RUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
Junior+ ML-инженер,https://hh.ru/vacancy/119771949,СОГАЗ,не указана,От 1 года до 3 лет,Нет,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
Менеджер проектов по искусственному интеллекту в сфере кредитования,https://hh.ru/vacancy/119301598,СБЕР,не указана,Нет опыта,Нет,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0
Менеджер проектов,https://hh.ru/vacancy/119337160,DCS,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Python-разработчик (ML/CV),https://hh.ru/vacancy/119587590,ГБУ МО УТНКР,от 120000 RUR,От 1 года до 3 лет,Нет,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
Руководитель проектов (Генеративный ИИ),https://hh.ru/vacancy/119722954,Nordgold,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Исследователь в области ИИ и робототехники,https://hh.ru/vacancy/119547232,Образовательный проект №1,не указана,Нет опыта,Нет,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Data Engineer | Инженер данных,https://hh.ru/vacancy/119227360,Операционное совершенство,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Стажер ML (Sber AI Lab),https://hh.ru/vacancy/118956005,СБЕР,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (Прогнозирование спроса и ДЦО Ритейл),https://hh.ru/vacancy/119785739,Сбер Бизнес Софт,не указана,От 1 года до 3 лет,Нет,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Руководитель направления реализации стратегических программ,https://hh.ru/vacancy/119537034,Крупный российский банк,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Junior+ ML-аналитик,https://hh.ru/vacancy/119770582,СОГАЗ,не указана,От 1 года до 3 лет,Нет,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Middle ML Engineer [DSP],https://hh.ru/vacancy/119745427,МТС,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Data Scientist Junior+/Middle,https://hh.ru/vacancy/118799422,Рекрутинговое агентство The One,от 150000 до 200000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Junior ML Engineer / Data scientist (Младший специалист МО),https://hh.ru/vacancy/119382231,Инфосистемы Джет,не указана,От 1 года до 3 лет,Да,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Лидер проектного управления (PMO Lead) Института ИИ МФТИ,https://hh.ru/vacancy/119598745,Стартап Лаборатория,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-разработчик,https://hh.ru/vacancy/119104415,Группа ЭНЭЛТ,не указана,От 1 года до 3 лет,Нет,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0
Quantitative Researcher,https://hh.ru/vacancy/119637198,Дубайт,не указана,От 1 года до 3 лет,Нет,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Инженер по машинному обучению,https://hh.ru/vacancy/119593510,JSA Group,не указана,От 3 до 6 лет,Да,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0
Аналитик Senior/ Team lead,https://hh.ru/vacancy/119834692,metaLead,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
Junior ML-инженер,https://hh.ru/vacancy/118593037,Правительство Москвы,не указана,От 1 года до 3 лет,Нет,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0
Product manager,https://hh.ru/vacancy/109468300,ВижнЛабс (VisionLabs),от 250000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Team Lead (ML),https://hh.ru/vacancy/118835124,Центральный банк Российской Федерации (Банк России),не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Python Developer AI,https://hh.ru/vacancy/117326410,Альфа-Банк,не указана,От 3 до 6 лет,Нет,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
Методист / Разработчик образовательного курса по ИИ,https://hh.ru/vacancy/119560784,Айсмарт,от 120000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ассистент менеджера по сбору данных,https://hh.ru/vacancy/119826431,Data Light,от 50000 до 70000 RUR,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Vision Engineer (Junior/Middle),https://hh.ru/vacancy/119113401,Форк ИТ,не указана,От 1 года до 3 лет,Да,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
Data Scientist,https://hh.ru/vacancy/117483603,YADRO,не указана,От 3 до 6 лет,Да,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Инженер по программированию БПЛА (C++),https://hh.ru/vacancy/119080952,АЙТИ КА,до 280000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"Стажер (роботизация, RPA)",https://hh.ru/vacancy/118782075,BeringPro,не указана,Нет опыта,Нет,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0
Аналитик данных (Контроль качества ПВЗ),https://hh.ru/vacancy/119040826,WILDBERRIES,не указана,От 1 года до 3 лет,Нет,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Data Scientist (AI Stylist),https://hh.ru/vacancy/119556787,Lamoda Tech,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0
"Junior Data Scientist (NLP, LLM)",https://hh.ru/vacancy/119404172,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ML Researcher,https://hh.ru/vacancy/117443140,Спектральные Технологии,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/117232071,Data-Driven Lab,не указана,От 1 года до 3 лет,Да,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Старший Data Scientist в команду поискового ранжирования,https://hh.ru/vacancy/119729978,АВИТО ТЕХ,не указана,От 1 года до 3 лет,Нет,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"Data Scientist, Платформа чат-ботов",https://hh.ru/vacancy/119723509,Ozon,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
Data Analyst (команда Intelligent Search),https://hh.ru/vacancy/118136611,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Руководитель core-команды рекомендательной платформы (Technical Leader),https://hh.ru/vacancy/119787866,VK,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Computer Vision Engineer (БПЛА),https://hh.ru/vacancy/119547464,АЙТИ КА,до 180000 RUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Менеджер по продажам IT проектов,https://hh.ru/vacancy/98909375,Астор,от 80000 до 250000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Junior Data Scientist в команду ""Разработка AI-решений БСР""",https://hh.ru/vacancy/119609635,СБЕР,не указана,От 1 года до 3 лет,Да,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Стажер Data scientist (Проекты внедрения технологий ИИ),https://hh.ru/vacancy/119677838,СБЕР,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
AI Product Manager [XOps Copilots],https://hh.ru/vacancy/119071061,МТС,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior python developer (Backend/Full Stack),https://hh.ru/vacancy/117573920,СберПраво,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Менеджер продуктов B2B / Product manager,https://hh.ru/vacancy/117492389,МТС,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ИТ-Лидер команды (Tech Lead/Team Lead),https://hh.ru/vacancy/119211481,Т1,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Антифрод-аналитик,https://hh.ru/vacancy/119733329,МФК Займер,не указана,От 1 года до 3 лет,Да,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Лидер AI трансформации контента,https://hh.ru/vacancy/119669025,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior-Middle ML Python разработчик в стартап,https://hh.ru/vacancy/119562099,DIMITRENKO,от 300000 RUR,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Senior Продуктовый аналитик,https://hh.ru/vacancy/118511005,Точка,до 550000 RUR,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist (Middle),https://hh.ru/vacancy/119647385,Лаборатория Касперского,не указана,От 3 до 6 лет,Нет,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Аналитик данных (Data Science),https://hh.ru/vacancy/119601615,ПИК-специализированный застройщик,не указана,От 3 до 6 лет,Да,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
Разработчик C++ (проект Поиск),https://hh.ru/vacancy/118615619,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Team Lead (Домен ИИ, предиктивная аналитика)",https://hh.ru/vacancy/118699524,Т1,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Python developer,https://hh.ru/vacancy/119082188,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Data Scientist (Ml Платформа),https://hh.ru/vacancy/119578529,X5 Digital,не указана,От 3 до 6 лет,Нет,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0
Data Scientist/ML Engineer,https://hh.ru/vacancy/117487440,X5 Digital,не указана,От 3 до 6 лет,Нет,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Разработчик Python (ML),https://hh.ru/vacancy/118718432,Эйч-Эль-Эль,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Стажер в аналитический департамент ВТБ Юниор,https://hh.ru/vacancy/118706797,Банк ВТБ (ПАО),от 75000 до 75000 RUR,Нет опыта,Нет,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Аналитик/Системный аналитик,https://hh.ru/vacancy/118917570,МТ-ЛАБ,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Менеджер исследовательских проектов (Лаборатория искусственного интеллекта),https://hh.ru/vacancy/119634575,СБЕР,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Архитектор по автоматизации бизнес-процессов с ИИ,https://hh.ru/vacancy/119127099,Атлас,до 350000 RUR,Более 6 лет,Нет,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Data Scientist (NLP), middle",https://hh.ru/vacancy/119432863,Литрес,не указана,От 1 года до 3 лет,Да,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0
IT-рекрутер (ML),https://hh.ru/vacancy/116590015,Яндекс,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Analyst DataCX,https://hh.ru/vacancy/119274551,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Исследователь-психометрист (Лаборатория нейронаук и поведения человека),https://hh.ru/vacancy/118550645,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Руководитель проектов по внедрению ИИ,https://hh.ru/vacancy/119273147,Совкомбанк,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Аналитик по финансовым рынкам,https://hh.ru/vacancy/119197786,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель направления инвестиционной аналитики,https://hh.ru/vacancy/119327786,НПФ Будущее,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Python developer (middle+),https://hh.ru/vacancy/117105423,СберПраво,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Head of AI / ML,https://hh.ru/vacancy/119561792,Островок,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI разработчик,https://hh.ru/vacancy/119180340,AERODISK,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MLOps,https://hh.ru/vacancy/119780973,АНО ЦИСМ,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ML Инженер в тестировании,https://hh.ru/vacancy/119680162,РСХБ-Интех,не указана,От 3 до 6 лет,Да,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
"Data Scientist, Anti-Fraud, Ozon Bank",https://hh.ru/vacancy/117537901,Ozon,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Partner manager (IT),https://hh.ru/vacancy/119325946,SberTech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-инженер (Computer Vision),https://hh.ru/vacancy/115411980,Spice IT,не указана,От 3 до 6 лет,Нет,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Quantitative Researcher,https://hh.ru/vacancy/119379053,Финтех,не указана,От 3 до 6 лет,Да,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Middle DevOps-Engineer (ML-инфраструктура),https://hh.ru/vacancy/118760072,КИТТ,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Аналитик данных,https://hh.ru/vacancy/119433127,Автомакон,от 150000 до 250000 RUR,От 3 до 6 лет,Да,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Python ML engineer,https://hh.ru/vacancy/119583372,Aston,не указана,От 1 года до 3 лет,Нет,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
"Java разработчик, Поисковая платформа",https://hh.ru/vacancy/117835206,Ozon,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lead Data Analyst (Analytics Team),https://hh.ru/vacancy/119385107,"МАГНИТ, Розничная сеть",не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Computer Vision Engineer,https://hh.ru/vacancy/118980309,WILDBERRIES,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"Data Scientist, Оптимизация коммуникаций",https://hh.ru/vacancy/115399559,Ozon,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Product Owner ML/AI,https://hh.ru/vacancy/118916132,RDP.RU,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst / BI (Специалист по аналитике данных и бизнес-интеллекту),https://hh.ru/vacancy/119393646,Гибрид,от 200000 до 250000 RUR,От 3 до 6 лет,Да,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
ML-инженер,https://hh.ru/vacancy/118458994,РОВИ Факторинг Плюс,не указана,Нет опыта,Нет,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Senior Data Engineer,https://hh.ru/vacancy/119804858,VK,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Team Lead / Руководитель группы ИИ разработки,https://hh.ru/vacancy/119280274,ALP GROUP,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по нейросетям,https://hh.ru/vacancy/118512939,BORK,не указана,От 1 года до 3 лет,Нет,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Middle Data Scientist,https://hh.ru/vacancy/119216199,Комус,не указана,От 1 года до 3 лет,Да,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
Data Scientist (Classic ML/NLP),https://hh.ru/vacancy/118310517,Компания БКС,не указана,От 3 до 6 лет,Да,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0
Дата-инженер,https://hh.ru/vacancy/119034857,IBS,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Computer Vision Researcher,https://hh.ru/vacancy/117112545,Tevian (ООО Технологии видеоанализа),не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Аналитик данных (дата-сайентист),https://hh.ru/vacancy/119190829,Банк ПСБ,не указана,От 1 года до 3 лет,Нет,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0
Data Scientist (Pricing),https://hh.ru/vacancy/118125206,Lamoda Tech,не указана,От 1 года до 3 лет,Нет,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Team Lead (Домен ИИ модельные сервисы),https://hh.ru/vacancy/118705524,Т1,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Senior Java Engineer (algorithms, optimization)",https://hh.ru/vacancy/118691435,BrainShells,от 5000 USD,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ведущий менеджер по продажам IT проектов,https://hh.ru/vacancy/119534334,Астор,от 120000 до 250000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DevOps-инженер в Лабораторию AI,https://hh.ru/vacancy/118471651,Первый Бит,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Инженер по внедрению AI и разработке чат-ботов,https://hh.ru/vacancy/118113030,Datanomica,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Project manager по СХ стратегии,https://hh.ru/vacancy/119539556,Альфа-Банк,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TeamLead computer vision/machine learning,https://hh.ru/vacancy/119701320,Инфотек,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Product manager (AI помощник),https://hh.ru/vacancy/117091883,Циан,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Аналитик ML-моделей,https://hh.ru/vacancy/118823941,ЛАНИТ,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML Engineer/Data Science,https://hh.ru/vacancy/119378723,Social Media Holding,до 350000 RUR,От 3 до 6 лет,Да,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0
Middle ML-инженер (RuBackup),https://hh.ru/vacancy/116743646,Группа компаний Астра,не указана,От 1 года до 3 лет,Да,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"AI-разработчик / Ведущий специалист по искусственному интеллекту (МФО, МКК)",https://hh.ru/vacancy/119030519,Целевые Финансы,от 300000 RUR,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
