Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,SECURITY,PENTEST,OWASP,SIEM,NETWORK,CRYPTO,COMPLIANCE
Руководитель Службы Безопасности,https://hh.ru/vacancy/119132383,Marfatech,не указана,Более 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,1
Middle QA-инженер (Manual),https://hh.ru/vacancy/118310182,ITD Group (International IT-Distribution Group),не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Стажер направления бизнес-аналитики,https://hh.ru/vacancy/119139973,Лаборатория Касперского,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
C# разработчик,https://hh.ru/vacancy/119160472,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,1,0,0,0,0,0,0
Операционный директор/COO,https://hh.ru/vacancy/118913301,СберСпасибо,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Директор по информационным технологиям (CIO),https://hh.ru/vacancy/118725332,МИРИДИУМ,от 350000 до 550000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Senior Frontend Developer (Антибот-сервис),https://hh.ru/vacancy/118442007,Вебмониторэкс,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,0,0,0,0,0,0,0
Старший руководитель проектов,https://hh.ru/vacancy/119159975,Х5 Group,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель проекта (Project Manager),https://hh.ru/vacancy/119158479,CtrlHack,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Ассистент отдела маркетинга,https://hh.ru/vacancy/118082286,Xello,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель информационной безопасности (CISO),https://hh.ru/vacancy/117585681,IT-hunters,от 800000 до 1000000 RUR,Более 6 лет,Да,0,0,0,0,0,0,0,0,1,0,0,1
Golang разработчик,https://hh.ru/vacancy/118557012,CtrlHack,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0
Руководитель направления,https://hh.ru/vacancy/119129525,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Финансовый бизнес-партнер,https://hh.ru/vacancy/119063902,Positive Technologies,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Технический руководитель,https://hh.ru/vacancy/119027066,СБЕР,не указана,Более 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist (Classic ML),https://hh.ru/vacancy/119174814,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель юридической службы,https://hh.ru/vacancy/117880396,SafeTech (СэйфТек),от 200 до 250000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Стажер в финансы,https://hh.ru/vacancy/119024346,Positive Technologies,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Медиатор/Хостес,https://hh.ru/vacancy/119084165,Кибердом,не указана,Нет опыта,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Middle/Middle+ Java Developer (Продуктовая разработка),https://hh.ru/vacancy/118911674,Солар,не указана,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,0,0,0
Директор по информационным технологиям (CIO)/EdTech,https://hh.ru/vacancy/119080948,Мобильное электронное образование,от 350000 до 350000 RUR,Более 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Технический директор (CTO),https://hh.ru/vacancy/118872738,СБЕРКОРУС,не указана,Более 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Senior QA Manual Engineer (Security Management),https://hh.ru/vacancy/118976074,Солар,не указана,Более 6 лет,Да,0,1,1,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/119068463,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,0
Account Manager,https://hh.ru/vacancy/119128752,ЭНИ.РАН,не указана,От 3 до 6 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0
Менеджер по продажам,https://hh.ru/vacancy/118051808,Нейроинформ,от 150000 до 300000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Интегратор,https://hh.ru/vacancy/119110228,4hands,от 70000 до 70000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/118959709,СТИ,не указана,Более 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Юрист,https://hh.ru/vacancy/118084404,WeJET,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Рекрутер / Менеджер по подбору персонала,https://hh.ru/vacancy/118660344,Codenrock,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист службы безопасности,https://hh.ru/vacancy/117896088,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с государственными структурами,https://hh.ru/vacancy/118833243,Кибердом,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель проектов,https://hh.ru/vacancy/119155797,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Support Manager,https://hh.ru/vacancy/119128350,ЭНИ.РАН,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0
Junior project manager/Младший менеджер проектов,https://hh.ru/vacancy/118500705,CrypToro,от 100000 до 120000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Delivery manager,https://hh.ru/vacancy/118592354,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/119012124,ГК Innostage,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,1,0,0,0
Системный администратор Linux (Виртуализация),https://hh.ru/vacancy/118959093,Солар,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик,https://hh.ru/vacancy/119090060,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Разработчик Java/Kotlin (Middle/Senior),https://hh.ru/vacancy/118126708,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,1,0,0,0,0,0,0
Менеджер по продажам IT-продуктов,https://hh.ru/vacancy/118144665,HR Store (ИП Шибанова Дарья Рафаиловна),от 90000 до 500000 RUR,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель управления внедрения,https://hh.ru/vacancy/119024271,INFOWATCH,не указана,Более 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Начальник сектора по эксплуатации оконечного оборудования,https://hh.ru/vacancy/119101122,ГБУ Финансово-Хозяйственное Управление,от 200000 до 200000 RUR,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Разработчик данных,https://hh.ru/vacancy/118169778,IT_One,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист группы сопровождения расходных договоров,https://hh.ru/vacancy/118990698,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель проектного офиса,https://hh.ru/vacancy/118642651,Positive Technologies,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
IT Архитектор,https://hh.ru/vacancy/119085325,SberTech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер продукта,https://hh.ru/vacancy/115180003,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Frontend разработчик,https://hh.ru/vacancy/118152001,Клауд Солюшенс,не указана,Более 6 лет,Нет,1,0,1,0,1,1,0,0,0,0,0,0
DevOps-инженер,https://hh.ru/vacancy/119115442,Нейроинформ,не указана,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0
Юрист с функциями администратора,https://hh.ru/vacancy/118916063,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Sales & Business Development Manager,https://hh.ru/vacancy/118877862,Have Marketing,от 2500 до 4000 USD,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Senior Kotlin/Java Developer,https://hh.ru/vacancy/118244572,Xello,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,1,0,0,0
Системный администратор,https://hh.ru/vacancy/119040755,BI.ZONE,не указана,От 3 до 6 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0
B2B-маркетолог/Менеджер по маркетингу,https://hh.ru/vacancy/119070911,Swordfish Security,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Стажёр-программист С++ (Linux),https://hh.ru/vacancy/118644825,Zecurion,не указана,Нет опыта,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Эксперт по нормативно-правой работе (GR, ИБ)",https://hh.ru/vacancy/119041583,Солар,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с ключевыми клиентами ИБ,https://hh.ru/vacancy/118858103,CtrlHack,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Growth Manager (Менеджер по росту) в VPN-сервис,https://hh.ru/vacancy/118315842,Phenix Group,от 250000 до 400000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Координатор/помощник руководителя,https://hh.ru/vacancy/118719553,SberTech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель IT-проектов (Senior),https://hh.ru/vacancy/118305229,ITD Group (International IT-Distribution Group),не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Продуктовый маркетолог,https://hh.ru/vacancy/118962200,"ВСК, САО",от 200000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Младший аналитик по информационной безопасности,https://hh.ru/vacancy/118915500,AZ Recruitment,до 200000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Технический писатель,https://hh.ru/vacancy/119104706,Р-Вижн,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
Руководитель IT-отдела,https://hh.ru/vacancy/118550638,ProPersonnel,от 250000 до 400000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер маркетплейсов,https://hh.ru/vacancy/117289036,Staffberry,от 130000 до 160000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/117950383,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,1,1,0,0,1,0,0,0,0
Администратор/Хостес,https://hh.ru/vacancy/118716372,Кибердом,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
BI-аналитик,https://hh.ru/vacancy/119021345,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по диджитал маркетингу,https://hh.ru/vacancy/117774840,Компания Индид,от 200000 до 250000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Контент-маркетолог,https://hh.ru/vacancy/118082297,Xello,не указана,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0
Stream team lead,https://hh.ru/vacancy/119065338,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель IT/ Product разработки,https://hh.ru/vacancy/119120121,JuicyScore,не указана,Более 6 лет,Нет,0,1,1,0,1,0,0,0,0,0,0,0
Golang developer (Network services),https://hh.ru/vacancy/118448652,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Go разработчик (R&D),https://hh.ru/vacancy/118603318,BI.ZONE,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,0
Руководитель направления (ЦФА),https://hh.ru/vacancy/118661700,СБЕР,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист IT,https://hh.ru/vacancy/118263810,ГРАН-ПРИ,до 150000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель отдела развития продуктов,https://hh.ru/vacancy/117910374,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
DevOps инженер,https://hh.ru/vacancy/118243883,CtrlHack,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Администратор проектов,https://hh.ru/vacancy/118235498,BI.ZONE,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель ИТ отдела,https://hh.ru/vacancy/117963415,Р-Вижн,не указана,Более 6 лет,Нет,0,1,1,0,1,0,0,0,0,0,0,0
Менеджер по работе с ключевыми клиентами,https://hh.ru/vacancy/118073294,Клауд Солюшенс,не указана,Более 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
HR BP,https://hh.ru/vacancy/116769931,INFOWATCH,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Backend-разработчик Go (Cybersecurity),https://hh.ru/vacancy/118984237,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,0
Программист Ботов телеграм,https://hh.ru/vacancy/118316328,Афанасьев Александр Владимирович,от 1500 до 2500 RUR,От 3 до 6 лет,Да,0,1,1,0,0,0,0,0,0,0,0,0
Python Developer в команду Teleoperations,https://hh.ru/vacancy/118827658,Navio (ООО Автотех),не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0
Младший редактор,https://hh.ru/vacancy/117890203,BI.ZONE,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Senior QA Engineer (NGFW),https://hh.ru/vacancy/116578647,Positive Technologies,не указана,Более 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Копирайтер (тема технологии),https://hh.ru/vacancy/119183957,Гречка Медиа,от 5000 до 15000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Системный администратор,https://hh.ru/vacancy/118914576,Гексагон,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Инженер технической поддержки,https://hh.ru/vacancy/118858358,Cloud Networks,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,1,0,0,0
AQA Engineer,https://hh.ru/vacancy/118067807,Вебмониторэкс,не указана,От 3 до 6 лет,Нет,0,0,1,0,1,0,0,1,0,0,0,0
Менеджер по работе с ключевыми клиентами (ИТ),https://hh.ru/vacancy/119110688,ИТ Дистрибуция,от 170000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
JAVA Developer,https://hh.ru/vacancy/118572160,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Аналитик дежурной линии,https://hh.ru/vacancy/112749994,МТС Финтех,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Разработчик C / C++,https://hh.ru/vacancy/118782012,Вебмониторэкс,не указана,От 1 года до 3 лет,Да,0,1,0,0,1,0,0,0,0,0,0,0
Администратор проектов,https://hh.ru/vacancy/118815293,Солар,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Операционный директор (COO),https://hh.ru/vacancy/118831077,МАТРИ,не указана,Более 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Инженер по информационной безопасности,https://hh.ru/vacancy/118448112,ПУЛЬС,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Старший бухгалтер (HoReCa),https://hh.ru/vacancy/118123829,Топассистент,от 170000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель группы разработки,https://hh.ru/vacancy/118032757,СМ-Клиника,не указана,Более 6 лет,Нет,0,0,1,1,1,0,0,0,0,0,0,0
Менеджер по B2B продажам (ИБ/IT),https://hh.ru/vacancy/118585732,Секъюритм,от 150000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Директор по развитию бизнеса / менеджер по продажам ИБ-сервисов,https://hh.ru/vacancy/118811714,НУБЕС,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам b2b,https://hh.ru/vacancy/118070105,Кибердом,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Инженер по информационной безопасности,https://hh.ru/vacancy/118251741,Xello,не указана,Нет опыта,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Системный администратор,https://hh.ru/vacancy/119059408,Солар,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Координатор отдела продаж,https://hh.ru/vacancy/119088223,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по работе с ключевыми клиентами (продажа ИБ-услуг и решений),https://hh.ru/vacancy/118439483,Singleton Security,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,1,0,0,0,0,0
Penetration Tester (Pentest) Middle,https://hh.ru/vacancy/108984553,Непрерывные Технологии,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/118957246,КуАпп,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,1,0
Системный аналитик,https://hh.ru/vacancy/112538429,Р-Вижн,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель разработки / Head of Development,https://hh.ru/vacancy/118178175,Марс,не указана,Более 6 лет,Нет,0,0,1,1,1,1,0,0,1,0,0,0
Контент-маркетолог,https://hh.ru/vacancy/119109195,Зеробит,от 50000 до 100000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Главный системный аналитик (Машиночитаемая доверенность),https://hh.ru/vacancy/119075916,СБЕР,до 370000 RUR,От 3 до 6 лет,Нет,0,0,1,0,1,0,0,0,0,0,0,0
Младший инженер поддержки решений WEB security,https://hh.ru/vacancy/118764036,BI.ZONE,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,1,0,0,0,0,0,0
Руководитель учебного центра/Руководитель IT-Академии,https://hh.ru/vacancy/118627059,БФТ-Холдинг,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
"Младший аналитик Threat Intelligence, Darkweb",https://hh.ru/vacancy/118206415,F6,не указана,Нет опыта,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Старший бухгалтер,https://hh.ru/vacancy/118969335,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Системный аналитик (системы виртуализации),https://hh.ru/vacancy/119122948,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,0,0,0,1,0,1,0,0,0,0,0,0
Специалист по информационной безопасности.,https://hh.ru/vacancy/115949330,Правительство Москвы,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Product manager,https://hh.ru/vacancy/118613656,Макс,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Технический директор (CTO),https://hh.ru/vacancy/117569699,ПАПА ДЖОНС,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Архитектор решений,https://hh.ru/vacancy/119180486,Т1,не указана,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0
Менеджер по работе с клиентами,https://hh.ru/vacancy/117185409,Positive Technologies,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Инженер технической поддержки,https://hh.ru/vacancy/118247389,Р-Вижн,не указана,Нет опыта,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Аналитик SOC,https://hh.ru/vacancy/119080687,СБЕР,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,1,0,0,0
Системный аналитик,https://hh.ru/vacancy/115134367,Гексагон,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
DevOps | ML Ops,https://hh.ru/vacancy/118657382,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,1,0,1,0,0,0,0,0,0,0
IT-рекрутер,https://hh.ru/vacancy/119024565,Lenkep recruitment,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Rust developer,https://hh.ru/vacancy/117163570,BI.ZONE,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Python Developer (SberНадежность),https://hh.ru/vacancy/118442291,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,0
Системный администратор средств защиты информации,https://hh.ru/vacancy/114689758,ЦИБИТ,от 300000 RUR,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Эксперт развития системы противодействия кибермошенничеству (фрод-мониторинг),https://hh.ru/vacancy/117788946,Альфа-Банк,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Инженер внедрения ИБ,https://hh.ru/vacancy/118858018,CtrlHack,не указана,От 3 до 6 лет,Нет,0,1,1,0,1,0,0,0,1,0,0,0
Системный аналитик,https://hh.ru/vacancy/118298584,ITD Group (International IT-Distribution Group),не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Инженер по информационной безопасности,https://hh.ru/vacancy/119123630,Альфа Центр Здоровья,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,1
Менеджер по работе с ключевыми партнёрами (Информационная безопасность),https://hh.ru/vacancy/119102261,Цикада,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
"Аналитик ИБ, Ozon Банк",https://hh.ru/vacancy/118962926,Ozon,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с партнерами,https://hh.ru/vacancy/113271988,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий эксперт (pentest),https://hh.ru/vacancy/117343439,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,1,1,0,0,0,1
Директор по работе с ключевыми заказчиками,https://hh.ru/vacancy/116337786,Солар,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Business Development Manager (BDM),https://hh.ru/vacancy/118073672,Р-Вижн,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по кибербезопасности / по информационной безопасности,https://hh.ru/vacancy/118618648,Крупный многопрофильный холдинг,от 289000 RUR,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Руководитель направления развития средств защиты в Финтех,https://hh.ru/vacancy/119033663,Яндекс,не указана,Более 6 лет,Нет,0,1,0,0,0,1,0,0,1,0,1,0
