Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,SECURITY,PENTEST,OWASP,SIEM,NETWORK,CRYPTO,COMPLIANCE
Senior Go developer (облачные решения в области мониторинга и телеметрии),https://hh.ru/vacancy/118965050,Клауд Солюшенс,не указана,Более 6 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Технический аккаунт-менеджер,https://hh.ru/vacancy/118735211,VK,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам обучающих курсов по кибербезопасности B2C / Специалист по продажам B2C,https://hh.ru/vacancy/118732588,CyberEd,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Младший программист С/C++,https://hh.ru/vacancy/118002552,КДМ,не указана,От 1 года до 3 лет,Нет,0,1,1,0,1,0,0,0,0,0,0,0
Специалист сопровождения закупочной деятельности,https://hh.ru/vacancy/118967816,Солар,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам B2B (выставки высоких технологий АПК),https://hh.ru/vacancy/118771439,Агрос Экспо Групп,от 125000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Middle+ DevOps Engineer (DLP),https://hh.ru/vacancy/117368767,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,0
Senior Java Developer,https://hh.ru/vacancy/117476441,Ростелеком Информационные Технологии,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Инженер по управлению рисками кибербезопасности,https://hh.ru/vacancy/118123189,Spice IT,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
DevSecOps инженер,https://hh.ru/vacancy/118968766,Okko,не указана,От 1 года до 3 лет,Да,0,1,0,0,1,0,0,0,0,0,0,1
Программист,https://hh.ru/vacancy/118591921,Bonya Beauty,от 50000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Специалист по тестированию на проникновение (Pentester),https://hh.ru/vacancy/118247230,MobileUp,от 200000 до 350000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,0,1,0,0,0,0,0
Backend Developer Node.js (Middle),https://hh.ru/vacancy/118856285,Р-Вижн,не указана,От 3 до 6 лет,Да,0,1,1,0,1,0,0,0,0,0,0,0
"Аналитик по информационной безопасности, Ozon Банк",https://hh.ru/vacancy/118962531,Ozon,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Специалист по компенсациям и льготам (C&B),https://hh.ru/vacancy/115783603,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам спонсорства,https://hh.ru/vacancy/118069036,Кибердом,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с партнёрами,https://hh.ru/vacancy/118858236,Секъюритм,от 150000 до 300000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Project Manager инфраструктурных проектов,https://hh.ru/vacancy/118306835,DatsTeam,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Системный аналитик (junior/middle),https://hh.ru/vacancy/115248288,"Полилог, КГ",не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Дизайнер (IT / ИБ),https://hh.ru/vacancy/118633431,Гексагон,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
"Бизнес-партнер по информационной безопасности, Ozon Банк",https://hh.ru/vacancy/117962258,Ozon,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Senior Python developer (SOC),https://hh.ru/vacancy/115756239,BI.ZONE,не указана,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0
Ведущий аналитик отдела аудита ИБ,https://hh.ru/vacancy/118700461,Singleton Security,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,1,0,0,0,0,0
Менеджер по продуктовому маркетингу,https://hh.ru/vacancy/118352001,Р-Вижн,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель подразделения Кибербезопасности (CISO),https://hh.ru/vacancy/118508367,АБК,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,0
Эксперт в области информационной безопасности,https://hh.ru/vacancy/118810341,Piccard,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист дежурной службы (направление – кибербезопасность),https://hh.ru/vacancy/118876896,СберСпасибо,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,1,0,0,0
Руководитель направления киберугроз  / Cyber Threat Lead,https://hh.ru/vacancy/119156156,CtrlHack,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,1,0,1,0,0,0
Senior Go developer (продукты Кибербезопасности),https://hh.ru/vacancy/118985641,Клауд Солюшенс,не указана,Более 6 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Старший IT рекрутер,https://hh.ru/vacancy/118458039,Б1 (B1),не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с ключевыми клиентами (Информационная безопасность),https://hh.ru/vacancy/119034506,Цикада,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Младший бизнес-аналитик,https://hh.ru/vacancy/109069832,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий инженер по информационной безопасности,https://hh.ru/vacancy/119084376,K2 Тех,не указана,Более 6 лет,Нет,0,1,0,0,0,1,0,0,1,1,0,0
Специалист технической поддержки 1 линии,https://hh.ru/vacancy/119119058,Вебмониторэкс,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,0,0,0,0,0,0,0
Руководитель команды разработки,https://hh.ru/vacancy/117356466,X5 Tech,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Сервис-менеджер (SOC),https://hh.ru/vacancy/118198703,BI.ZONE,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Системный аналитик (СБОЛ),https://hh.ru/vacancy/118693119,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Младший инженер по информационной безопасности,https://hh.ru/vacancy/117465600,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,1,1,0,1,0,0,0,1,0,0,0
Специалист по документообороту в отдел продаж,https://hh.ru/vacancy/118007550,Zecurion,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Старший эксперт по кибербезопасности ИТ-проектов,https://hh.ru/vacancy/116032272,Альфа-Банк,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,1,1,0,0,0
Ведущий Менеджер информационной безопасности (SOC),https://hh.ru/vacancy/118960872,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Application Security / Web Pentester (специалист по анализу защищённости приложений) Middle,https://hh.ru/vacancy/118871198,Непрерывные Технологии,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Эксперт по информационной безопасности,https://hh.ru/vacancy/119150324,Х5 Group,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Старший разработчик С++ / Senior Developer C++,https://hh.ru/vacancy/117087763,Zecurion,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Помощник креативного / контент-менеджера,https://hh.ru/vacancy/119089297,Advert Technology Solutions,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Инженер администрирования средств защиты информации,https://hh.ru/vacancy/116340325,Солар,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист группы сопровождения сервиса киберзащиты,https://hh.ru/vacancy/118542879,Нейроинформ,от 140000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Backend Developer Node.js (Senior),https://hh.ru/vacancy/115162971,Р-Вижн,не указана,Более 6 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/115698050,Агентство страховых технологий,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Системный администратор,https://hh.ru/vacancy/118505490,ВТБ ДЦ,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Инженер по кибербезопасности,https://hh.ru/vacancy/117152147,Альфа-Банк,не указана,От 3 до 6 лет,Нет,0,0,1,0,1,0,0,0,0,0,0,0
Специалист по анализу защищенности / Пентест,https://hh.ru/vacancy/118759636,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,1,0,0,0,0
Team Lead графических дизайнеров,https://hh.ru/vacancy/118755946,ЭНИ.РАН,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Сетевой инженер,https://hh.ru/vacancy/117488949,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,1,0,0
Аналитик SOC (L2),https://hh.ru/vacancy/111868150,K2 Тех,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,1,1,0,0,0
Руководитель направления по работе с ПДн,https://hh.ru/vacancy/116348852,РСХБ Управление Активами,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий экономист по бюджетированию,https://hh.ru/vacancy/116393224,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Главный менеджер по информационной безопасности,https://hh.ru/vacancy/119112280,ИК СИБИНТЕК,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Старший графический дизайнер,https://hh.ru/vacancy/116859177,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продвижению ИТ-решений,https://hh.ru/vacancy/111868858,K2 Тех,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Интернет-маркетолог,https://hh.ru/vacancy/116452468,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Инженер по информационной безопасности,https://hh.ru/vacancy/117361336,Солар,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Заместитель технического директора,https://hh.ru/vacancy/118235833,Positive Technologies,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Аналитик SOC L1,https://hh.ru/vacancy/117019376,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,0
Системный аналитик (Secure DNS),https://hh.ru/vacancy/117572452,BI.ZONE,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
PR-менеджер,https://hh.ru/vacancy/112749554,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack Javascript разработчик,https://hh.ru/vacancy/118499861,РСХБ-Интех,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Разработчик Python,https://hh.ru/vacancy/118226958,SberTech,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,0
Solution architect,https://hh.ru/vacancy/119129816,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Инженер Pre-sale по информационной безопасности,https://hh.ru/vacancy/118622174,MERLION,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,1,0,0,0
Ведущий инженер АСУТП,https://hh.ru/vacancy/118522080,Айсорс,до 220000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Инженер технической поддержки,https://hh.ru/vacancy/118166810,Арудит Секьюрити,до 110000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Analytic / Solution architect,https://hh.ru/vacancy/118572468,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий эксперт по кибербезопасности (безопасная разработка),https://hh.ru/vacancy/117461430,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,1,1,0,0,0,0,0,0,0
DevOps-инженер,https://hh.ru/vacancy/119041709,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,1,0,0,0,0,0,0
Менеджер по развитию бизнеса/ BDM (СЗИ),https://hh.ru/vacancy/118265354,HRLab (ИП Чиняева Анастасия Игоревна),от 200000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Директор по продажам ИТ-решений,https://hh.ru/vacancy/118647811,КРОК,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по нормоконтролю (ИБ),https://hh.ru/vacancy/116394090,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Старший менеджер по продвижению решений,https://hh.ru/vacancy/118297241,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Администратор проекта с функциями аналитика,https://hh.ru/vacancy/118857981,Selecty,не указана,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0
Senior UI/UX designer (Cloud services),https://hh.ru/vacancy/118893910,Клауд Солюшенс,не указана,Более 6 лет,Нет,0,0,0,1,0,1,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/117440829,Солар,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
SMM-менеджер,https://hh.ru/vacancy/118915356,Секьюр-Ти,от 35000 до 50000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности СИБ,https://hh.ru/vacancy/118763103,МТИ-Банк,от 150000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,1,0,0,0
Администратор SIEM,https://hh.ru/vacancy/118289440,MobileUp,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,0
Младший специалист по IT,https://hh.ru/vacancy/119074583,Инвестиционная Компания ФОНТВЬЕЛЬ,от 80000 до 120000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Аналитик-исследователь киберугроз,https://hh.ru/vacancy/105384427,Р-Вижн,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,1,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/118814443,ИнтэлЛекс,от 150000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Fullstack analyst(Anti-fraud),https://hh.ru/vacancy/118769609,BI.ZONE,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Инженер технической поддержки (клиентская поддержка),https://hh.ru/vacancy/118428502,BI.ZONE,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Инженер по кибербезопасности,https://hh.ru/vacancy/119158383,ПУЛЬС,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Руководитель проектов (ИТ/ИБ),https://hh.ru/vacancy/118512449,ИНТЕР РАО ОЦО,от 182000 до 204750 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/118640178,Цикада,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,1,0,0,1
Лидер команды пентестеров,https://hh.ru/vacancy/119036584,Star-Staff,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Middle/Senior Kotlin/Java-разработчик в команду Container Ecosystem [МТС Web Services (MWS)],https://hh.ru/vacancy/118257177,МТС,не указана,От 3 до 6 лет,Да,1,0,0,0,1,1,0,0,0,0,0,0
Технический менеджер продукта (Software),https://hh.ru/vacancy/118299267,СалютДевайсы,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Senior IT Project Manager (в продуктовую команду),https://hh.ru/vacancy/118120198,Xello,не указана,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель проектов (Информационная безопасность),https://hh.ru/vacancy/118239652,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Менеджер по закупкам (ИТ / Инженерное оборудование),https://hh.ru/vacancy/117245812,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Team Lead Developer C++,https://hh.ru/vacancy/117047776,Zecurion,не указана,Более 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Графический дизайнер,https://hh.ru/vacancy/118156645,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель направления анализа данных,https://hh.ru/vacancy/117509611,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/118724802,AMCOR,от 120000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Cloud Security Engineer,https://hh.ru/vacancy/110619912,Школа 21,до 448000 RUR,От 3 до 6 лет,Нет,0,1,0,0,1,1,0,0,1,0,0,0
Менеджер по цифровому развитию | IT & Cloud | Международные проекты,https://hh.ru/vacancy/118725297,Unigreen Energy,не указана,Нет опыта,Да,0,0,0,1,0,0,0,0,0,0,0,0
Руководитель проектов кибербезопасности дочерних компаний,https://hh.ru/vacancy/118974005,Альфа-Банк,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик (Антивирусная лаборатория),https://hh.ru/vacancy/118974776,Positive Technologies,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Инженер кибербезопасности,https://hh.ru/vacancy/119069402,СберСити,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,1,0,0,0
Преподаватель отдела дополнительного профессионального образования,https://hh.ru/vacancy/118610329,ФГУП НТЦ Заря,от 80000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Инженер NGFW,https://hh.ru/vacancy/118125514,Солар,не указана,Нет опыта,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам решений информационной безопасности,https://hh.ru/vacancy/119162074,VVP Group,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java developer,https://hh.ru/vacancy/118832901,Клауд Солюшенс,не указана,Более 6 лет,Нет,0,0,0,0,1,1,0,0,0,0,0,0
Инженер по сетевой безопасности (кибербезопасность),https://hh.ru/vacancy/118876723,Selecty,до 250000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Старший инженер по аттестации (информационная безопасность),https://hh.ru/vacancy/117061923,Солар,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Инженер по сетевой безопасности,https://hh.ru/vacancy/118902464,Альфа-Банк,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
"Ведущий системный аналитик (Storages, СХД)",https://hh.ru/vacancy/118982660,Клауд Солюшенс,не указана,Более 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Ведущий специалист операционной поддержки проектов,https://hh.ru/vacancy/118154379,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по работе с партнерами (IT услуги),https://hh.ru/vacancy/118351983,Джаст Ит,от 80000 до 150000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Tech Presale,https://hh.ru/vacancy/118855052,КуАпп,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Контент-менеджер Security Awareness,https://hh.ru/vacancy/116719518,WILDBERRIES,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Эксперт в направление защиты персональных данных,https://hh.ru/vacancy/118891511,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по закупкам HoReCa,https://hh.ru/vacancy/118310445,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Главный инженер по кибербезопасности,https://hh.ru/vacancy/119179213,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,1,0,1,0,0,0,0,0,0,0
Программист С/C++,https://hh.ru/vacancy/117484297,КДМ,не указана,От 1 года до 3 лет,Нет,0,1,1,0,1,0,0,0,0,0,0,0
Архитектор информационной безопасности,https://hh.ru/vacancy/118131652,IconSoft,не указана,Более 6 лет,Нет,0,1,0,0,1,1,0,0,1,0,0,0
Руководитель отдела мониторинга ИБ,https://hh.ru/vacancy/118309257,LADA Цифра,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
Senior PHP разработчик (Laravel),https://hh.ru/vacancy/119084304,ECOS,не указана,Более 6 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,0
Руководитель направления кастомизированных ИТ программ для обучения руководителей,https://hh.ru/vacancy/118502721,Корпоративный университет Сбербанка,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Технический эксперт в ИБ,https://hh.ru/vacancy/118057462,UserGate,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,1,0,0,0
Инженер по мониторингу (Кибербезопасность),https://hh.ru/vacancy/118440671,СБЕР,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Бухгалтер по расчету заработной платы,https://hh.ru/vacancy/115898633,Р-Вижн,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по контекстной рекламе Google Ads,https://hh.ru/vacancy/118471558,WebGears Services,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Technical Lead / Tech Lead,https://hh.ru/vacancy/116560507,Солар,не указана,Более 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0
Сервис-менеджер,https://hh.ru/vacancy/118709606,Positive Technologies,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий инженер СХД (МТС Web Services (MWS)),https://hh.ru/vacancy/117043256,МТС,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Сервис менеджер (Облачные решения кибербезопасность),https://hh.ru/vacancy/118501015,BI.ZONE,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Старший Python разработчик/Senior Python developer,https://hh.ru/vacancy/118043513,Платежное Решение,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,0,0,0,0,0,0,0
Product owner (личный кабинет клиента),https://hh.ru/vacancy/118082555,Солар,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Senior Golang разработчик в команду Network And Network Services [МТС Web Services (MWS)],https://hh.ru/vacancy/118289206,МТС,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,0,0,0,0,0,0,0
